Dimensions,Weight (lbs),FedEx Ground or FedEx Home Delivery,FedEx Standard Overnight,UPS Ground,UPS 3 Day Select,UPS 2nd Day Air,UPS Next Day Air Savar,UPS Next Day Air,USPS Priority,USPS Priority Express
3x3x3,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
4x4x3,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
4x4x4,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
4x4x5,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
4x4x6,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
4x4x8,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
4x4x9,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
4x4x10,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,11.13,43.28
4x4x12,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
4x4x16,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
4x4x18,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
4x4x20,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
4x4x24,1,10.88,70.04,8.21,10.58,16.09,37.78,43.76,12.39,41.32
4x4x28,1,10.88,70.04,8.21,10.58,16.09,37.78,43.76,12.39,41.32
4x4x30,1,10.88,70.04,8.21,10.58,16.09,37.78,43.76,12.39,41.32
4x4x32,1,11.87,75.88,8.21,10.58,17.8,40.75,46.72,23.39,52.32
4x4x36,1,11.87,75.88,8.21,10.58,17.8,40.75,46.72,23.39,52.32
4x4x38,1,11.87,75.88,8.21,10.58,17.8,40.75,46.72,23.39,52.32
4x4x40,1,11.87,75.88,8.21,10.58,17.8,40.75,46.72,23.39,52.32
4x4x46,1,12.19,79.4,8.21,10.58,19.5,43.71,49.68,23.39,52.32
4x4x48,1,12.19,79.4,8.21,10.58,19.5,43.71,49.68,23.39,52.32
4x4x50,1,0.0,0.0,19.96,22.33,31.25,55.46,61.43,23.39,52.32
4x4x60,1,43.74,118.39,19.96,22.33,32.88,58.43,64.41,23.39,52.32
4x4x72,1,44.54,124.4,19.96,22.33,34.5,61.4,67.37,23.39,52.32
4x4x74,1,44.85,129.71,19.96,22.33,36.12,64.36,70.33,23.39,52.32
5x5x3,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
5x5x4,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
5x5x5,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
5x5x6,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
5x5x8,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
5x5x10,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
5x5x12,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
5x5x24,1,11.87,75.88,8.21,10.58,17.8,40.75,46.72,12.39,41.32
5x5x36,1,12.22,86.87,8.21,10.58,21.13,46.68,52.66,23.39,52.32
5x5x40,1,13.03,92.89,8.21,10.58,22.75,49.65,55.62,23.39,52.32
5x5x48,1,13.33,98.19,8.21,10.58,24.37,52.61,58.58,23.39,52.32
5x5x50,1,44.85,129.71,19.96,22.33,36.12,64.36,70.33,23.39,52.32
5x5x60,1,45.39,137.12,19.96,22.33,39.36,70.29,76.27,23.39,52.32
6x3x3,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
6x4x2,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
6x4x3,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
6x4x4,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
6x4x6,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
6x4x8,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
6x5x3,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
6x5x4,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
6x5x5,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
6x6x2,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
6x6x3,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
6x6x4,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
6x6x5,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
6x6x6,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
6x6x7,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
6x6x8,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
6x6x9,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
6x6x10,1,10.88,70.04,8.21,10.58,16.09,37.78,43.76,8.39,37.32
6x6x12,1,10.88,70.04,8.21,10.58,16.09,37.78,43.76,8.39,37.32
6x6x14,1,11.87,75.88,8.21,10.58,17.8,40.75,46.72,8.39,37.32
6x6x18,1,11.87,75.88,8.21,10.58,17.8,40.75,46.72,8.39,37.32
6x6x20,1,12.19,79.4,8.21,10.58,19.5,43.71,49.68,8.39,37.32
6x6x24,1,12.22,86.87,8.21,10.58,21.13,46.68,52.66,12.39,41.32
6x6x29,1,13.03,92.89,8.21,10.58,22.75,49.65,55.62,12.39,41.32
6x6x30,1,13.03,92.89,8.21,10.58,22.75,49.65,55.62,12.39,41.32
6x6x32,1,13.03,92.89,8.21,10.58,22.75,49.65,55.62,23.39,52.32
6x6x36,1,13.33,98.19,8.21,10.58,24.37,52.61,58.58,23.39,52.32
6x6x38,1,13.55,104.14,8.21,10.58,25.99,55.58,61.55,23.39,52.32
6x6x40,1,13.55,104.14,8.21,10.58,25.99,55.58,61.55,23.39,52.32
6x6x42,1,13.87,105.6,8.21,10.58,27.61,58.54,64.52,23.39,52.32
6x6x48,1,14.78,115.98,8.21,10.58,29.23,61.51,67.49,23.39,52.32
6x6x50,1,46.3,147.5,28.17,32.91,40.98,73.26,79.24,39.85,107.73
6x6x60,1,47.37,164.34,29.89,36.02,45.76,82.16,88.14,43.98,121.47
6x6x62,1,47.37,164.34,29.89,36.02,45.76,82.16,88.14,43.98,121.47
6x6x72,1,48.11,173.77,31.06,38.25,48.91,88.09,94.07,46.72,130.62
7x4x3,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
7x4x4,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
7x5x3,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
7x5x4,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
7x5x5,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
7x6x4,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
7x6x5,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
7x6x6,1,10.88,64.14,8.21,10.58,14.4,34.81,40.79,8.39,37.32
7x7x3,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
9x4x3,1,10.88,56.75,8.21,10.58,12.8,31.83,37.82,8.39,37.32
